"Procode","SpellStart","n"
"RCD",2021-01-12,166
"RCD",2021-01-13,152
"RCD",2021-01-14,100
"RCD",2021-01-15,122
"RCD",2021-01-16,64
"RCD",2021-01-17,63
"RCD",2021-01-18,176
"RCD",2021-01-19,138
"RCD",2021-01-20,141
"RCD",2021-01-21,127
"RCD",2021-01-22,144
"RCD",2021-01-23,86
"RCD",2021-01-24,59
"RCD",2021-01-25,144
"RCD",2021-01-26,132
"RCD",2021-01-27,147
"RCD",2021-01-28,145
"RCD",2021-01-29,135
"RCD",2021-01-30,63
"RCD",2021-01-31,59
"RCD",2021-02-01,147
"RCD",2021-02-02,125
"RCD",2021-02-03,157
"RCD",2021-02-04,136
"RCD",2021-02-05,124
"RCD",2021-02-06,80
"RCD",2021-02-07,49
"RCD",2021-02-08,152
"RCD",2021-02-09,148
"RCD",2021-02-10,150
"RCD",2021-02-11,146
"RCD",2021-02-12,133
"RCD",2021-02-13,82
"RCD",2021-02-14,66
"RCD",2021-02-15,162
"RCD",2021-02-16,133
"RCD",2021-02-17,150
"RCF",2020-06-11,2
"RCF",2020-06-12,3
"RCF",2020-06-13,2
"RCF",2020-06-14,4
"RCF",2020-06-15,8
"RCF",2020-06-16,3
"RCF",2020-06-17,3
"RCF",2020-06-18,2
"RCF",2020-06-19,8
"RCF",2020-06-20,4
"RCF",2020-06-21,7
"RCF",2020-06-22,5
"RCF",2020-06-23,8
"RCF",2020-06-24,7
"RCF",2020-06-25,15
"RCF",2020-06-26,17
"RCF",2020-06-27,15
"RCF",2020-06-28,16
"RCF",2020-06-29,31
"RCF",2020-06-30,41
"RCF",2020-07-01,140
"RCF",2020-07-02,138
"RCF",2020-07-03,134
"RCF",2020-07-04,58
"RCF",2020-07-05,64
"RCF",2020-07-06,112
"RCF",2020-07-07,159
"RCF",2020-07-08,159
"RCF",2020-07-09,155
"RCF",2020-07-10,146
"RCF",2020-07-11,96
"RCF",2020-07-12,64
"RCF",2020-07-13,139
"RCF",2020-07-14,174
"RCF",2020-07-15,161
"RCF",2020-07-16,157
"RCF",2020-07-17,160
"RCF",2020-07-18,70
"RCF",2020-07-19,63
"RCF",2020-07-20,148
"RCF",2020-07-21,179
"RCF",2020-07-22,147
"RCF",2020-07-23,152
"RCF",2020-07-24,153
"RCF",2020-07-25,66
"RCF",2020-07-26,70
"RCF",2020-07-27,141
"RCF",2020-07-28,177
"RCF",2020-07-29,151
"RCF",2020-07-30,158
"RCF",2020-07-31,169
"RCF",2020-08-01,69
"RCF",2020-08-02,87
"RCF",2020-08-03,136
"RCF",2020-08-04,153
"RCF",2020-08-05,186
"RCF",2020-08-06,138
"RCF",2020-08-07,175
"RCF",2020-08-08,75
"RCF",2020-08-09,73
"RCF",2020-08-10,152
"RCF",2020-08-11,166
"RCF",2020-08-12,172
"RCF",2020-08-13,155
"RCF",2020-08-14,162
"RCF",2020-08-15,60
"RCF",2020-08-16,81
"RCF",2020-08-17,163
"RCF",2020-08-18,175
"RCF",2020-08-19,173
"RCF",2020-08-20,168
"RCF",2020-08-21,171
"RCF",2020-08-22,73
"RCF",2020-08-23,68
"RCF",2020-08-24,169
"RCF",2020-08-25,155
"RCF",2020-08-26,179
"RCF",2020-08-27,155
"RCF",2020-08-28,178
"RCF",2020-08-29,92
"RCF",2020-08-30,75
"RCF",2020-08-31,84
"RCF",2020-09-01,183
"RCF",2020-09-02,170
"RCF",2020-09-03,170
"RCF",2020-09-04,180
"RCF",2020-09-05,79
"RCF",2020-09-06,74
"RCF",2020-09-07,163
"RCF",2020-09-08,185
"RCF",2020-09-09,204
"RCF",2020-09-10,197
"RCF",2020-09-11,169
"RCF",2020-09-12,92
"RCF",2020-09-13,72
"RCF",2020-09-14,178
"RCF",2020-09-15,222
"RCF",2020-09-16,175
"RCF",2020-09-17,166
"RCF",2020-09-18,183
"RCF",2020-09-19,85
"RCF",2020-09-20,72
"RCF",2020-09-21,162
"RCF",2020-09-22,200
"RCF",2020-09-23,187
"RCF",2020-09-24,170
"RCF",2020-09-25,168
"RCF",2020-09-26,104
"RCF",2020-09-27,56
"RCF",2020-09-28,168
"RCF",2020-09-29,193
"RCF",2020-09-30,193
"RCF",2020-10-01,202
"RCF",2020-10-02,214
"RCF",2020-10-03,104
"RCF",2020-10-04,77
"RCF",2020-10-05,166
"RCF",2020-10-06,197
"RCF",2020-10-07,199
"RCF",2020-10-08,160
"RCF",2020-10-09,198
"RCF",2020-10-10,87
"RCF",2020-10-11,85
"RCF",2020-10-12,167
"RCF",2020-10-13,198
"RCF",2020-10-14,183
"RCF",2020-10-15,174
"RCF",2020-10-16,164
"RCF",2020-10-17,103
"RCF",2020-10-18,50
"RCF",2020-10-19,167
"RCF",2020-10-20,214
"RCF",2020-10-21,172
"RCF",2020-10-22,192
"RCF",2020-10-23,206
"RCF",2020-10-24,97
"RCF",2020-10-25,65
"RCF",2020-10-26,156
"RCF",2020-10-27,179
"RCF",2020-10-28,186
"RCF",2020-10-29,162
"RCF",2020-10-30,189
"RCF",2020-10-31,108
"RCF",2020-11-01,52
"RCF",2020-11-02,152
"RCF",2020-11-03,205
"RCF",2020-11-04,159
"RCF",2020-11-05,170
"RCF",2020-11-06,181
"RCF",2020-11-07,95
"RCF",2020-11-08,56
"RCF",2020-11-09,171
"RCF",2020-11-10,207
"RCF",2020-11-11,144
"RCF",2020-11-12,144
"RCF",2020-11-13,173
"RCF",2020-11-14,111
"RCF",2020-11-15,80
"RCF",2020-11-16,154
"RCF",2020-11-17,199
"RCF",2020-11-18,172
"RCF",2020-11-19,162
"RCF",2020-11-20,161
"RCF",2020-11-21,85
"RCF",2020-11-22,67
"RCF",2020-11-23,160
"RCF",2020-11-24,184
"RCF",2020-11-25,180
"RCF",2020-11-26,173
"RCF",2020-11-27,166
"RCF",2020-11-28,81
"RCF",2020-11-29,47
"RCF",2020-11-30,175
"RCF",2020-12-01,194
"RCF",2020-12-02,168
"RCF",2020-12-03,145
"RCF",2020-12-04,173
"RCF",2020-12-05,79
"RCF",2020-12-06,67
"RCF",2020-12-07,161
"RCF",2020-12-08,189
"RCF",2020-12-09,184
"RCF",2020-12-10,203
"RCF",2020-12-11,163
"RCF",2020-12-12,77
"RCF",2020-12-13,79
"RCF",2020-12-14,180
"RCF",2020-12-15,189
"RCF",2020-12-16,192
"RCF",2020-12-17,175
"RCF",2020-12-18,201
"RCF",2020-12-19,82
"RCF",2020-12-20,74
"RCF",2020-12-21,154
"RCF",2020-12-22,172
"RCF",2020-12-23,164
"RCF",2020-12-24,132
"RCF",2020-12-25,41
"RCF",2020-12-26,54
"RCF",2020-12-27,59
"RCF",2020-12-28,86
"RCF",2020-12-29,192
"RCF",2020-12-30,198
"RCF",2020-12-31,167
"RCF",2021-01-01,62
"RCF",2021-01-02,92
"RCF",2021-01-03,60
"RCF",2021-01-04,148
"RCF",2021-01-05,205
"RCF",2021-01-06,193
"RCF",2021-01-07,179
"RCF",2021-01-08,174
"RCF",2021-01-09,87
"RCF",2021-01-10,64
"RCF",2021-01-11,153
"RCF",2021-01-12,183
"RCF",2021-01-13,190
"RCF",2021-01-14,121
"RCF",2021-01-15,149
"RCF",2021-01-16,93
"RCF",2021-01-17,62
"RCF",2021-01-18,151
"RCF",2021-01-19,177
"RCF",2021-01-20,163
"RCF",2021-01-21,163
"RCF",2021-01-22,182
"RCF",2021-01-23,98
"RCF",2021-01-24,87
"RCF",2021-01-25,175
"RCF",2021-01-26,197
"RCF",2021-01-27,170
"RCF",2021-01-28,135
"RCF",2021-01-29,157
"RCF",2021-01-30,89
"RCF",2021-01-31,92
"RCF",2021-02-01,168
"RCF",2021-02-02,128
"RCF",2021-02-03,162
"RCF",2021-02-04,158
"RCF",2021-02-05,174
"RCF",2021-02-06,78
"RCF",2021-02-07,70
"RCF",2021-02-08,168
"RCF",2021-02-09,167
"RCF",2021-02-10,171
"RCF",2021-02-11,148
"RCF",2021-02-12,169
"RCF",2021-02-13,84
"RCF",2021-02-14,48
"RCF",2021-02-15,163
"RCF",2021-02-16,198
"RCF",2021-02-17,186
"RCX",2020-06-11,196
"RCX",2020-06-12,188
"RCX",2020-06-13,91
"RCX",2020-06-14,78
"RCX",2020-06-15,197
"RCX",2020-06-16,248
"RCX",2020-06-17,208
"RCX",2020-06-18,212
"RCX",2020-06-19,163
"RCX",2020-06-20,88
"RCX",2020-06-21,95
"RCX",2020-06-22,205
"RCX",2020-06-23,231
"RCX",2020-06-24,236
"RCX",2020-06-25,230
"RCX",2020-06-26,192
"RCX",2020-06-27,106
"RCX",2020-06-28,82
"RCX",2020-06-29,215
"RCX",2020-06-30,225
"RCX",2020-07-01,264
"RCX",2020-07-02,220
"RCX",2020-07-03,217
"RCX",2020-07-04,87
"RCX",2020-07-05,105
"RCX",2020-07-06,216
"RCX",2020-07-07,250
"RCX",2020-07-08,265
"RCX",2020-07-09,198
"RCX",2020-07-10,188
"RCX",2020-07-11,98
"RCX",2020-07-12,92
"RCX",2020-07-13,259
"RCX",2020-07-14,260
"RCX",2020-07-15,230
"RCX",2020-07-16,200
"RCX",2020-07-17,208
"RCX",2020-07-18,127
"RCX",2020-07-19,109
"RCX",2020-07-20,218
"RCX",2020-07-21,243
"RCX",2020-07-22,230
"RCX",2020-07-23,211
"RCX",2020-07-24,212
"RCX",2020-07-25,110
"RCX",2020-07-26,109
"RCX",2020-07-27,250
"RCX",2020-07-28,237
"RCX",2020-07-29,257
"RCX",2020-07-30,202
"RCX",2020-07-31,197
"RCX",2020-08-01,122
"RCX",2020-08-02,103
"RCX",2020-08-03,223
"RCX",2020-08-04,248
"RCX",2020-08-05,215
"RCX",2020-08-06,230
"RCX",2020-08-07,181
"RCX",2020-08-08,118
"RCX",2020-08-09,103
"RCX",2020-08-10,246
"RCX",2020-08-11,254
"RCX",2020-08-12,249
"RCX",2020-08-13,237
"RCX",2020-08-14,203
"RCX",2020-08-15,109
"RCX",2020-08-16,118
"RCX",2020-08-17,235
"RCX",2020-08-18,257
"RCX",2020-08-19,223
"RCX",2020-08-20,230
"RCX",2020-08-21,221
"RCX",2020-08-22,103
"RCX",2020-08-23,88
"RCX",2020-08-24,218
"RCX",2020-08-25,253
"RCX",2020-08-26,241
"RCX",2020-08-27,211
"RCX",2020-08-28,208
"RCX",2020-08-29,96
"RCX",2020-08-30,94
"RCX",2020-08-31,109
"RCX",2020-09-01,286
"RCX",2020-09-02,265
"RCX",2020-09-03,234
"RCX",2020-09-04,219
"RCX",2020-09-05,118
"RCX",2020-09-06,96
"RCX",2020-09-07,216
"RCX",2020-09-08,276
"RCX",2020-09-09,265
"RCX",2020-09-10,249
"RCX",2020-09-11,213
"RCX",2020-09-12,125
"RCX",2020-09-13,112
"RCX",2020-09-14,219
"RCX",2020-09-15,248
"RCX",2020-09-16,273
"RCX",2020-09-17,245
"RCX",2020-09-18,202
"RCX",2020-09-19,137
"RCX",2020-09-20,101
"RCX",2020-09-21,242
"RCX",2020-09-22,259
"RCX",2020-09-23,269
"RCX",2020-09-24,238
"RCX",2020-09-25,238
"RCX",2020-09-26,121
"RCX",2020-09-27,93
"RCX",2020-09-28,228
"RCX",2020-09-29,251
"RCX",2020-09-30,279
"RCX",2020-10-01,263
"RCX",2020-10-02,253
"RCX",2020-10-03,119
"RCX",2020-10-04,102
"RCX",2020-10-05,241
"RCX",2020-10-06,273
"RCX",2020-10-07,271
"RCX",2020-10-08,223
"RCX",2020-10-09,234
"RCX",2020-10-10,109
"RCX",2020-10-11,99
"RCX",2020-10-12,229
"RCX",2020-10-13,267
"RCX",2020-10-14,232
"RCX",2020-10-15,230
"RCX",2020-10-16,238
"RCX",2020-10-17,146
"RCX",2020-10-18,106
"RCX",2020-10-19,215
"RCX",2020-10-20,241
"RCX",2020-10-21,250
"RCX",2020-10-22,267
"RCX",2020-10-23,230
"RCX",2020-10-24,122
"RCX",2020-10-25,102
"RCX",2020-10-26,199
"RCX",2020-10-27,210
"RCX",2020-10-28,221
"RCX",2020-10-29,227
"RCX",2020-10-30,206
"RCX",2020-10-31,122
"RCX",2020-11-01,103
"RCX",2020-11-02,219
"RCX",2020-11-03,252
"RCX",2020-11-04,254
"RCX",2020-11-05,225
"RCX",2020-11-06,202
"RCX",2020-11-07,128
"RCX",2020-11-08,115
"RCX",2020-11-09,234
"RCX",2020-11-10,253
"RCX",2020-11-11,239
"RCX",2020-11-12,267
"RCX",2020-11-13,210
"RCX",2020-11-14,127
"RCX",2020-11-15,101
"RCX",2020-11-16,230
"RCX",2020-11-17,286
"RCX",2020-11-18,274
"RCX",2020-11-19,265
"RCX",2020-11-20,277
"RCX",2020-11-21,147
"RCX",2020-11-22,116
"RCX",2020-11-23,224
"RCX",2020-11-24,249
"RCX",2020-11-25,260
"RCX",2020-11-26,256
"RCX",2020-11-27,235
"RCX",2020-11-28,165
"RCX",2020-11-29,97
"RCX",2020-11-30,238
"RCX",2020-12-01,307
"RCX",2020-12-02,239
"RCX",2020-12-03,251
"RCX",2020-12-04,210
"RCX",2020-12-05,149
"RCX",2020-12-06,89
"RCX",2020-12-07,242
"RCX",2020-12-08,254
"RCX",2020-12-09,272
"RCX",2020-12-10,242
"RCX",2020-12-11,213
"RCX",2020-12-12,148
"RCX",2020-12-13,107
"RCX",2020-12-14,199
"RCX",2020-12-15,273
"RCX",2020-12-16,244
"RCX",2020-12-17,249
"RCX",2020-12-18,204
"RCX",2020-12-19,111
"RCX",2020-12-20,96
"RCX",2020-12-21,204
"RCX",2020-12-22,238
"RCX",2020-12-23,216
"RCX",2020-12-24,171
"RCX",2020-12-25,73
"RCX",2020-12-26,78
"RCX",2020-12-27,86
"RCX",2020-12-28,104
"RCX",2020-12-29,235
"RCX",2020-12-30,214
"RCX",2020-12-31,208
"RCX",2021-01-01,94
"RCX",2021-01-02,79
"RCX",2021-01-03,98
"RCX",2021-01-04,159
"RCX",2021-01-05,190
"RCX",2021-01-06,210
"RCX",2021-01-07,200
"RCX",2021-01-08,195
"RCX",2021-01-09,105
"RCX",2021-01-10,90
"RCX",2021-01-11,204
"RCX",2021-01-12,239
"RCX",2021-01-13,200
"RCX",2021-01-14,193
"RCX",2021-01-15,179
"RCX",2021-01-16,80
"RCX",2021-01-17,83
"RCX",2021-01-18,170
"RCX",2021-01-19,226
"RCX",2021-01-20,220
"RCX",2021-01-21,195
"RCX",2021-01-22,180
"RCX",2021-01-23,103
"RCX",2021-01-24,88
"RCX",2021-01-25,231
"RCX",2021-01-26,231
"RCX",2021-01-27,173
"RCX",2021-01-28,206
"RCX",2021-01-29,227
"RCX",2021-01-30,112
"RCX",2021-01-31,76
"RCX",2021-02-01,214
"RCX",2021-02-02,239
"RCX",2021-02-03,234
"RCX",2021-02-04,204
"RCX",2021-02-05,223
"RCX",2021-02-06,116
"RCX",2021-02-07,82
"RCX",2021-02-08,187
"RCX",2021-02-09,196
"RCX",2021-02-10,182
"RCX",2021-02-11,200
"RCX",2021-02-12,196
"RCX",2021-02-13,110
"RCX",2021-02-14,79
"RCX",2021-02-15,222
"RCX",2021-02-16,205
"RCX",2021-02-17,204
"RD1",2020-06-11,219
"RD1",2020-06-12,228
"RD1",2020-06-13,127
"RD1",2020-06-14,123
"RD1",2020-06-15,207
"RD1",2020-06-16,208
"RD1",2020-06-17,222
"RD1",2020-06-18,220
"RD1",2020-06-19,245
"RD1",2020-06-20,117
"RD1",2020-06-21,120
"RD1",2020-06-22,242
"RD1",2020-06-23,229
"RD1",2020-06-24,236
"RD1",2020-06-25,244
"RD1",2020-06-26,244
"RD1",2020-06-27,120
"RD1",2020-06-28,137
"RD1",2020-06-29,232
"RD1",2020-06-30,244
"RD1",2020-07-01,254
"RD1",2020-07-02,217
"RD1",2020-07-03,263
"RD1",2020-07-04,111
"RD1",2020-07-05,130
"RD1",2020-07-06,189
"RD1",2020-07-07,226
"RD1",2020-07-08,223
"RD1",2020-07-09,239
"RD1",2020-07-10,268
"RD1",2020-07-11,136
"RD1",2020-07-12,123
"RD1",2020-07-13,236
"RD1",2020-07-14,234
"RD1",2020-07-15,222
"RD1",2020-07-16,239
"RD1",2020-07-17,270
"RD1",2020-07-18,102
"RD1",2020-07-19,134
"RD1",2020-07-20,242
"RD1",2020-07-21,248
"RD1",2020-07-22,262
"RD1",2020-07-23,247
"RD1",2020-07-24,279
"RD1",2020-07-25,153
"RD1",2020-07-26,119
"RD1",2020-07-27,228
"RD1",2020-07-28,220
"RD1",2020-07-29,252
"RD1",2020-07-30,245
"RD1",2020-07-31,255
"RD1",2020-08-01,140
"RD1",2020-08-02,125
"RD1",2020-08-03,251
"RD1",2020-08-04,231
"RD1",2020-08-05,219
"RD1",2020-08-06,261
"RD1",2020-08-07,265
"RD1",2020-08-08,162
"RD1",2020-08-09,126
"RD1",2020-08-10,254
"RD1",2020-08-11,258
"RD1",2020-08-12,245
"RD1",2020-08-13,243
"RD1",2020-08-14,270
"RD1",2020-08-15,141
"RD1",2020-08-16,107
"RD1",2020-08-17,250
"RD1",2020-08-18,247
"RD1",2020-08-19,233
"RD1",2020-08-20,274
"RD1",2020-08-21,273
"RD1",2020-08-22,136
"RD1",2020-08-23,130
"RD1",2020-08-24,297
"RD1",2020-08-25,256
"RD1",2020-08-26,255
"RD1",2020-08-27,263
"RD1",2020-08-28,285
"RD1",2020-08-29,132
"RD1",2020-08-30,146
"RD1",2020-08-31,142
"RD1",2020-09-01,289
"RD1",2020-09-02,261
"RD1",2020-09-03,269
"RD1",2020-09-04,274
"RD1",2020-09-05,149
"RD1",2020-09-06,141
"RD1",2020-09-07,275
"RD1",2020-09-08,269
"RD1",2020-09-09,271
"RD1",2020-09-10,266
"RD1",2020-09-11,283
"RD1",2020-09-12,147
"RD1",2020-09-13,129
"RD1",2020-09-14,302
"RD1",2020-09-15,261
"RD1",2020-09-16,281
"RD1",2020-09-17,266
"RD1",2020-09-18,275
"RD1",2020-09-19,154
"RD1",2020-09-20,123
"RD1",2020-09-21,281
"RD1",2020-09-22,271
"RD1",2020-09-23,279
"RD1",2020-09-24,292
"RD1",2020-09-25,278
"RD1",2020-09-26,139
"RD1",2020-09-27,139
"RD1",2020-09-28,287
"RD1",2020-09-29,276
"RD1",2020-09-30,261
"RD1",2020-10-01,268
"RD1",2020-10-02,281
"RD1",2020-10-03,152
"RD1",2020-10-04,121
"RD1",2020-10-05,281
"RD1",2020-10-06,290
"RD1",2020-10-07,287
"RD1",2020-10-08,277
"RD1",2020-10-09,310
"RD1",2020-10-10,141
"RD1",2020-10-11,131
"RD1",2020-10-12,313
"RD1",2020-10-13,264
"RD1",2020-10-14,281
"RD1",2020-10-15,312
"RD1",2020-10-16,303
"RD1",2020-10-17,142
"RD1",2020-10-18,129
"RD1",2020-10-19,292
"RD1",2020-10-20,270
"RD1",2020-10-21,289
"RD1",2020-10-22,261
"RD1",2020-10-23,313
"RD1",2020-10-24,160
"RD1",2020-10-25,111
"RD1",2020-10-26,282
"RD1",2020-10-27,287
"RD1",2020-10-28,282
"RD1",2020-10-29,279
"RD1",2020-10-30,272
"RD1",2020-10-31,137
"RD1",2020-11-01,114
"RD1",2020-11-02,274
"RD1",2020-11-03,279
"RD1",2020-11-04,257
"RD1",2020-11-05,280
"RD1",2020-11-06,267
"RD1",2020-11-07,145
"RD1",2020-11-08,125
"RD1",2020-11-09,287
"RD1",2020-11-10,270
"RD1",2020-11-11,298
"RD1",2020-11-12,261
"RD1",2020-11-13,265
"RD1",2020-11-14,144
"RD1",2020-11-15,129
"RD1",2020-11-16,302
"RD1",2020-11-17,270
"RD1",2020-11-18,269
"RD1",2020-11-19,281
"RD1",2020-11-20,295
"RD1",2020-11-21,160
"RD1",2020-11-22,113
"RD1",2020-11-23,282
"RD1",2020-11-24,274
"RD1",2020-11-25,246
"RD1",2020-11-26,272
"RD1",2020-11-27,271
"RD1",2020-11-28,159
"RD1",2020-11-29,118
"RD1",2020-11-30,275
"RD1",2020-12-01,291
"RD1",2020-12-02,281
"RD1",2020-12-03,260
"RD1",2020-12-04,272
"RD1",2020-12-05,126
"RD1",2020-12-06,124
"RD1",2020-12-07,277
"RD1",2020-12-08,279
"RD1",2020-12-09,268
"RD1",2020-12-10,272
"RD1",2020-12-11,288
"RD1",2020-12-12,151
"RD1",2020-12-13,124
"RD1",2020-12-14,312
"RD1",2020-12-15,283
"RD1",2020-12-16,268
"RD1",2020-12-17,236
"RD1",2020-12-18,256
"RD1",2020-12-19,138
"RD1",2020-12-20,124
"RD1",2020-12-21,233
"RD1",2020-12-22,257
"RD1",2020-12-23,247
"RD1",2020-12-24,214
"RD1",2020-12-25,85
"RD1",2020-12-26,118
"RD1",2020-12-27,123
"RD1",2020-12-28,134
"RD1",2020-12-29,256
"RD1",2020-12-30,243
"RD1",2020-12-31,238
"RD1",2021-01-01,109
"RD1",2021-01-02,122
"RD1",2021-01-03,110
"RD1",2021-01-04,241
"RD1",2021-01-05,260
"RD1",2021-01-06,234
"RD1",2021-01-07,242
"RD1",2021-01-08,250
"RD1",2021-01-09,128
"RD1",2021-01-10,91
"RD1",2021-01-11,222
"RD1",2021-01-12,222
"RD1",2021-01-13,220
"RD1",2021-01-14,210
"RD1",2021-01-15,215
"RD1",2021-01-16,128
"RD1",2021-01-17,109
"RD1",2021-01-18,206
"RD1",2021-01-19,228
"RD1",2021-01-20,229
"RD1",2021-01-21,214
"RD1",2021-01-22,228
"RD1",2021-01-23,142
"RD1",2021-01-24,127
"RD1",2021-01-25,212
"RD1",2021-01-26,243
"RD1",2021-01-27,223
"RD1",2021-01-28,235
"RD1",2021-01-29,249
"RD1",2021-01-30,130
"RD1",2021-01-31,116
"RD1",2021-02-01,219
"RD1",2021-02-02,249
"RD1",2021-02-03,229
"RD1",2021-02-04,234
"RD1",2021-02-05,258
"RD1",2021-02-06,138
"RD1",2021-02-07,122
"RD1",2021-02-08,241
"RD1",2021-02-09,268
"RD1",2021-02-10,246
"RD1",2021-02-11,253
"RD1",2021-02-12,251
"RD1",2021-02-13,117
"RD1",2021-02-14,119
"RD1",2021-02-15,244
"RD1",2021-02-16,239
"RD1",2021-02-17,271
"RD3",2020-06-11,193
"RD3",2020-06-12,218
"RD3",2020-06-13,72
"RD3",2020-06-14,89
"RD3",2020-06-15,220
"RD3",2020-06-16,225
"RD3",2020-06-17,254
"RD3",2020-06-18,190
"RD3",2020-06-19,210
"RD3",2020-06-20,119
"RD3",2020-06-21,120
"RD3",2020-06-22,230
"RD3",2020-06-23,229
"RD3",2020-06-24,227
"RD3",2020-06-25,218
"RD3",2020-06-26,219
"RD3",2020-06-27,132
"RD3",2020-06-28,129
"RD3",2020-06-29,221
"RD3",2020-06-30,200
"RD3",2020-07-01,214
"RD3",2020-07-02,223
"RD3",2020-07-03,207
"RD3",2020-07-04,117
"RD3",2020-07-05,111
"RD3",2020-07-06,253
"RD3",2020-07-07,228
"RD3",2020-07-08,226
"RD3",2020-07-09,224
"RD3",2020-07-10,202
"RD3",2020-07-11,104
"RD3",2020-07-12,82
"RD3",2020-07-13,256
"RD3",2020-07-14,193
"RD3",2020-07-15,239
"RD3",2020-07-16,199
"RD3",2020-07-17,222
"RD3",2020-07-18,109
"RD3",2020-07-19,116
"RD3",2020-07-20,245
"RD3",2020-07-21,193
"RD3",2020-07-22,220
"RD3",2020-07-23,235
"RD3",2020-07-24,221
"RD3",2020-07-25,140
"RD3",2020-07-26,136
"RD3",2020-07-27,238
"RD3",2020-07-28,178
"RD3",2020-07-29,245
"RD3",2020-07-30,234
"RD3",2020-07-31,230
"RD3",2020-08-01,115
"RD3",2020-08-02,87
"RD3",2020-08-03,227
"RD3",2020-08-04,221
"RD3",2020-08-05,221
"RD3",2020-08-06,220
"RD3",2020-08-07,216
"RD3",2020-08-08,109
"RD3",2020-08-09,86
"RD3",2020-08-10,222
"RD3",2020-08-11,221
"RD3",2020-08-12,224
"RD3",2020-08-13,264
"RD3",2020-08-14,216
"RD3",2020-08-15,131
"RD3",2020-08-16,97
"RD3",2020-08-17,243
"RD3",2020-08-18,232
"RD3",2020-08-19,248
"RD3",2020-08-20,235
"RD3",2020-08-21,223
"RD3",2020-08-22,93
"RD3",2020-08-23,104
"RD3",2020-08-24,272
"RD3",2020-08-25,235
"RD3",2020-08-26,227
"RD3",2020-08-27,242
"RD3",2020-08-28,250
"RD3",2020-08-29,123
"RD3",2020-08-30,114
"RD3",2020-08-31,104
"RD3",2020-09-01,233
"RD3",2020-09-02,235
"RD3",2020-09-03,245
"RD3",2020-09-04,237
"RD3",2020-09-05,110
"RD3",2020-09-06,109
"RD3",2020-09-07,272
"RD3",2020-09-08,230
"RD3",2020-09-09,240
"RD3",2020-09-10,258
"RD3",2020-09-11,234
"RD3",2020-09-12,115
"RD3",2020-09-13,105
"RD3",2020-09-14,283
"RD3",2020-09-15,244
"RD3",2020-09-16,282
"RD3",2020-09-17,236
"RD3",2020-09-18,261
"RD3",2020-09-19,125
"RD3",2020-09-20,98
"RD3",2020-09-21,245
"RD3",2020-09-22,219
"RD3",2020-09-23,236
"RD3",2020-09-24,218
"RD3",2020-09-25,236
"RD3",2020-09-26,133
"RD3",2020-09-27,99
"RD3",2020-09-28,248
"RD3",2020-09-29,256
"RD3",2020-09-30,260
"RD3",2020-10-01,228
"RD3",2020-10-02,269
"RD3",2020-10-03,143
"RD3",2020-10-04,112
"RD3",2020-10-05,262
"RD3",2020-10-06,274
"RD3",2020-10-07,266
"RD3",2020-10-08,277
"RD3",2020-10-09,271
"RD3",2020-10-10,119
"RD3",2020-10-11,82
"RD3",2020-10-12,286
"RD3",2020-10-13,241
"RD3",2020-10-14,263
"RD3",2020-10-15,237
"RD3",2020-10-16,260
"RD3",2020-10-17,157
"RD3",2020-10-18,73
"RD3",2020-10-19,271
"RD3",2020-10-20,224
"RD3",2020-10-21,273
"RD3",2020-10-22,239
"RD3",2020-10-23,263
"RD3",2020-10-24,123
"RD3",2020-10-25,91
"RD3",2020-10-26,259
"RD3",2020-10-27,227
"RD3",2020-10-28,263
"RD3",2020-10-29,232
"RD3",2020-10-30,253
"RD3",2020-10-31,117
"RD3",2020-11-01,80
"RD3",2020-11-02,258
"RD3",2020-11-03,224
"RD3",2020-11-04,236
"RD3",2020-11-05,250
"RD3",2020-11-06,249
"RD3",2020-11-07,132
"RD3",2020-11-08,97
"RD3",2020-11-09,288
"RD3",2020-11-10,259
"RD3",2020-11-11,254
"RD3",2020-11-12,242
"RD3",2020-11-13,240
"RD3",2020-11-14,158
"RD3",2020-11-15,92
"RD3",2020-11-16,286
"RD3",2020-11-17,214
"RD3",2020-11-18,259
"RD3",2020-11-19,247
"RD3",2020-11-20,240
"RD3",2020-11-21,107
"RD3",2020-11-22,94
"RD3",2020-11-23,270
"RD3",2020-11-24,259
"RD3",2020-11-25,241
"RD3",2020-11-26,247
"RD3",2020-11-27,242
"RD3",2020-11-28,174
"RD3",2020-11-29,92
"RD3",2020-11-30,245
"RD3",2020-12-01,224
"RD3",2020-12-02,252
"RD3",2020-12-03,246
"RD3",2020-12-04,231
"RD3",2020-12-05,138
"RD3",2020-12-06,72
"RD3",2020-12-07,278
"RD3",2020-12-08,242
"RD3",2020-12-09,256
"RD3",2020-12-10,237
"RD3",2020-12-11,233
"RD3",2020-12-12,153
"RD3",2020-12-13,114
"RD3",2020-12-14,265
"RD3",2020-12-15,264
"RD3",2020-12-16,270
"RD3",2020-12-17,234
"RD3",2020-12-18,211
"RD3",2020-12-19,149
"RD3",2020-12-20,79
"RD3",2020-12-21,211
"RD3",2020-12-22,224
"RD3",2020-12-23,211
"RD3",2020-12-24,184
"RD3",2020-12-25,55
"RD3",2020-12-26,91
"RD3",2020-12-27,97
"RD3",2020-12-28,118
"RD3",2020-12-29,205
"RD3",2020-12-30,228
"RD3",2020-12-31,217
"RD3",2021-01-01,101
"RD3",2021-01-02,92
