"Procode","SpellStart","n"
"R0A",2020-12-22,1013
"R0A",2020-12-23,972
"R0A",2020-12-24,721
"R0A",2020-12-25,204
"R0A",2020-12-26,488
"R0A",2020-12-27,485
"R0A",2020-12-28,514
"R0A",2020-12-29,966
"R0A",2020-12-30,911
"R0A",2020-12-31,846
"R0A",2021-01-01,251
"R0A",2021-01-02,584
"R0A",2021-01-03,592
"R0A",2021-01-04,942
"R0A",2021-01-05,976
"R0A",2021-01-06,1012
"R0A",2021-01-07,1029
"R0A",2021-01-08,975
"R0A",2021-01-09,584
"R0A",2021-01-10,357
"R0A",2021-01-11,974
"R0A",2021-01-12,1022
"R0A",2021-01-13,939
"R0A",2021-01-14,968
"R0A",2021-01-15,936
"R0A",2021-01-16,624
"R0A",2021-01-17,334
"R0A",2021-01-18,936
"R0A",2021-01-19,1003
"R0A",2021-01-20,967
"R0A",2021-01-21,942
"R0A",2021-01-22,936
"R0A",2021-01-23,612
"R0A",2021-01-24,351
"R0A",2021-01-25,1027
"R0A",2021-01-26,1031
"R0A",2021-01-27,1007
"R0A",2021-01-28,970
"R0A",2021-01-29,990
"R0A",2021-01-30,579
"R0A",2021-01-31,344
"R0A",2021-02-01,999
"R0A",2021-02-02,972
"R0A",2021-02-03,984
"R0A",2021-02-04,979
"R0A",2021-02-05,960
"R0A",2021-02-06,600
"R0A",2021-02-07,360
"R0A",2021-02-08,977
"R0A",2021-02-09,1018
"R0A",2021-02-10,1003
"R0A",2021-02-11,977
"R0A",2021-02-12,967
"R0A",2021-02-13,645
"R0A",2021-02-14,339
"R0A",2021-02-15,999
"R0A",2021-02-16,982
"R0A",2021-02-17,989
"R0B",2020-06-11,331
"R0B",2020-06-12,262
"R0B",2020-06-13,144
"R0B",2020-06-14,140
"R0B",2020-06-15,300
"R0B",2020-06-16,287
"R0B",2020-06-17,324
"R0B",2020-06-18,321
"R0B",2020-06-19,275
"R0B",2020-06-20,136
"R0B",2020-06-21,139
"R0B",2020-06-22,327
"R0B",2020-06-23,314
"R0B",2020-06-24,357
"R0B",2020-06-25,291
"R0B",2020-06-26,348
"R0B",2020-06-27,127
"R0B",2020-06-28,142
"R0B",2020-06-29,368
"R0B",2020-06-30,366
"R0B",2020-07-01,375
"R0B",2020-07-02,354
"R0B",2020-07-03,329
"R0B",2020-07-04,151
"R0B",2020-07-05,137
"R0B",2020-07-06,390
"R0B",2020-07-07,345
"R0B",2020-07-08,396
"R0B",2020-07-09,386
"R0B",2020-07-10,391
"R0B",2020-07-11,130
"R0B",2020-07-12,136
"R0B",2020-07-13,391
"R0B",2020-07-14,405
"R0B",2020-07-15,403
"R0B",2020-07-16,325
"R0B",2020-07-17,381
"R0B",2020-07-18,150
"R0B",2020-07-19,148
"R0B",2020-07-20,371
"R0B",2020-07-21,422
"R0B",2020-07-22,428
"R0B",2020-07-23,398
"R0B",2020-07-24,377
"R0B",2020-07-25,144
"R0B",2020-07-26,145
"R0B",2020-07-27,386
"R0B",2020-07-28,403
"R0B",2020-07-29,382
"R0B",2020-07-30,406
"R0B",2020-07-31,385
"R0B",2020-08-01,138
"R0B",2020-08-02,113
"R0B",2020-08-03,421
"R0B",2020-08-04,388
"R0B",2020-08-05,431
"R0B",2020-08-06,422
"R0B",2020-08-07,397
"R0B",2020-08-08,171
"R0B",2020-08-09,135
"R0B",2020-08-10,418
"R0B",2020-08-11,435
"R0B",2020-08-12,428
"R0B",2020-08-13,424
"R0B",2020-08-14,410
"R0B",2020-08-15,158
"R0B",2020-08-16,126
"R0B",2020-08-17,450
"R0B",2020-08-18,420
"R0B",2020-08-19,423
"R0B",2020-08-20,450
"R0B",2020-08-21,414
"R0B",2020-08-22,157
"R0B",2020-08-23,125
"R0B",2020-08-24,461
"R0B",2020-08-25,411
"R0B",2020-08-26,406
"R0B",2020-08-27,374
"R0B",2020-08-28,419
"R0B",2020-08-29,137
"R0B",2020-08-30,139
"R0B",2020-08-31,151
"R0B",2020-09-01,412
"R0B",2020-09-02,459
"R0B",2020-09-03,383
"R0B",2020-09-04,438
"R0B",2020-09-05,151
"R0B",2020-09-06,135
"R0B",2020-09-07,451
"R0B",2020-09-08,465
"R0B",2020-09-09,469
"R0B",2020-09-10,472
"R0B",2020-09-11,343
"R0B",2020-09-12,150
"R0B",2020-09-13,151
"R0B",2020-09-14,438
"R0B",2020-09-15,452
"R0B",2020-09-16,426
"R0B",2020-09-17,432
"R0B",2020-09-18,441
"R0B",2020-09-19,177
"R0B",2020-09-20,173
"R0B",2020-09-21,448
"R0B",2020-09-22,454
"R0B",2020-09-23,460
"R0B",2020-09-24,439
"R0B",2020-09-25,433
"R0B",2020-09-26,175
"R0B",2020-09-27,142
"R0B",2020-09-28,431
"R0B",2020-09-29,480
"R0B",2020-09-30,459
"R0B",2020-10-01,440
"R0B",2020-10-02,467
